"","AU","AB","DI","SN","SO","PP","TI","VL","PY","DB","J9","TC","CR","C1","AU_UN","SR_FULL","SR"
"PASCUAL-FERRA P, 2022, Disaster Med. Public Health Prep.","PASCUAL-FERRA P;ALPERSTEIN N;BARNETT D","OBJECTIVES: THE PURPOSE OF THIS STUDY WAS TO DEMONSTRATE THE USE OF SOCIAL NETWORK ANALYSIS TO UNDERSTAND PUBLIC DISCOURSE ON TWITTER AROUND THE NOVEL CORONAVIRUS DISEASE 2019 (COVID-19) PANDEMIC. WE EXAMINED DIFFERENT NETWORK PROPERTIES THAT MIGHT AFFECT THE SUCCESSFUL DISSEMINATION BY AND ADOPTION OF PUBLIC HEALTH MESSAGES FROM PUBLIC HEALTH OFFICIALS AND HEALTH AGENCIES. METHODS: WE FOCUSED ON CONVERSATIONS ON TWITTER DURING 3 KEY COMMUNICATION EVENTS FROM LATE JANUARY TO EARLY JUNE OF 2020. WE USED NETLYTIC, A WEB-BASED SOFTWARE THAT COLLECTS PUBLICLY AVAILABLE DATA FROM SOCIAL MEDIA SITES SUCH AS TWITTER. RESULTS: WE FOUND THAT THE NETWORK OF CONVERSATIONS AROUND COVID-19 IS HIGHLY DECENTRALIZED, FRAGMENTED, AND LOOSELY CONNECTED; THESE CHARACTERISTICS CAN HINDER THE SUCCESSFUL DISSEMINATION OF PUBLIC HEALTH MESSAGES IN A NETWORK. COMPETING CONVERSATIONS AND MISINFORMATION CAN HAMPER RISK COMMUNICATION EFFORTS IN A WAY THAT IMPERIL PUBLIC HEALTH. CONCLUSIONS: LOOKING AT BASIC METRICS MIGHT CREATE A MISLEADING PICTURE OF THE EFFECTIVENESS OF RISK COMMUNICATION EFFORTS ON SOCIAL MEDIA IF NOT ANALYZED WITHIN THE CONTEXT OF THE LARGER NETWORK. SOCIAL NETWORK ANALYSIS OF CONVERSATIONS ON SOCIAL MEDIA SHOULD BE AN INTEGRAL PART OF HOW PUBLIC HEALTH OFFICIALS AND AGENCIES PLAN, MONITOR, AND EVALUATE RISK COMMUNICATION EFFORTS.","10.1017/dmp.2020.347","1935-7893","DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS","561-569","SOCIAL NETWORK ANALYSIS OF COVID19 PUBLIC DISCOURSE ON TWITTER IMPLICATIONS FOR RISK COMMUNICATION","16",2022,"ISI","Disaster Med. Public Health Prep.",0,"none",NA,NA,"PASCUAL-FERRA P, 2022, Disaster Med. Public Health Prep.","PASCUAL-FERRA P, 2022, Disaster Med. Public Health Prep."
"SHEN B, 2021, Public Health Pract.","SHEN B;GUAN T;MA J;YANG L;LIU Y","OBJECTIVES: TO UNDERSTAND THE RESEARCH LANDSCAPE AND IDENTIFY THE RESEARCH HOTSPOTS AND TRENDS OF THE APPLICATION OF SOCIAL NETWORK THEORY AND ANALYSIS TO PUBLIC HEALTH. STUDY DESIGN: A BIBLIOMETRIC STUDY OF PUBLICATIONS REGARDING APPLICATION OF SOCIAL NETWORK THEORY AND ANALYSIS TO PUBLIC HEALTH.METHODS: CHOOSING 1607 ARTICLES ABOUT THE APPLICATION OF SOCIAL NETWORK THEORY AND ANALYSIS TO PUBLIC HEALTH FROM THE CORE COLLECTION DATABASE OF WEB OF SCIENCE PUBLISHED FROM 1991 TO 2020 AS THE RESEARCH SAMPLE. A BIBLIO-METRIC AND VISUAL ANALYSIS OF PUBLICATION QUANTITY AND CONTENT WAS PERFORMED TO ANALYZE TIME TRENDS, SPATIAL DISTRIBUTION, COOPERATION NETWORKS, INFLUENTIAL REFERENCES, AND KEYWORD CO-OCCURRENCE, CLUSTERS, AND EMERGENCE. RESULTS: THERE IS AN INCREASING TREND IN THE USE OF SOCIAL NETWORK THEORY AND ANALYSIS IN THE PUBLIC HEALTH FIELD, WITH THE UNITED STATES TAKING THE LEAD. RESEARCH FOCUSES INCLUDE ON TRANSMISSION OF DISEASES OR BEHAVIOR THROUGH SOCIAL NETWORKS AND THE INFLUENCE OF SOCIAL NETWORKS ON POPULATION HEALTH AT DIFFERENT AGES. CURRENT RESEARCH FRONTIERS PRIMARILY INCLUDE THE ROLE OF SOCIAL NETWORKS IN TRACKING OF EMERGING INFECTIOUS DISEASES LIKE COVID-19, PREVENTING AND CONTROLLING CHRONIC DISEASES, AND CARRYING OUT HEALTHY BEHAVIORAL INTERVENTIONS.CONCLUSIONS: THIS STUDY PROVIDES A COMPREHENSIVE QUANTITATIVE OVERVIEW OF THE HISTORIC DEVELOPMENT OF AND LATEST TOPICS IN THE APPLICATION OF SOCIAL NETWORK THEORY AND ANALYSIS METHOD TO PUBLIC HEALTH. MORE ATTENTION SHOULD BE PAID TO THE IMPORTANT ROLE OF SOCIAL NETWORKS IN TRACING THE EMERGENCE OF SERIOUS INFECTIOUS DISEASES LIKE COVID-19, AS WELL AS PREVENTING AND CONTROLLING CHRONIC DISEASES AND INTERVENING IN HEALTH BEHAVIORS, CONSIDERING THE INCREASING CHALLENGES AND OPPORTUNITIES PRESENTED BY ONLINE SOCIAL NETWORKING.","10.1016/j.puhip.2021.100155","2666-5352","PUBLIC HEALTH IN PRACTICE",NA,"SOCIAL NETWORK RESEARCH HOTSPOTS AND TRENDS IN PUBLIC HEALTH A BIBLIOMETRIC AND VISUAL ANALYSIS","2",2021,"ISI","Public Health Pract.",0,"none",NA,NA,"SHEN B, 2021, Public Health Pract.","SHEN B, 2021, Public Health Pract."
"DUZEN Z, 2023, COMPUTERS","DUZEN Z;RIVENI M;AKTAS M","THE RAPID DISSEMINATION OF MISINFORMATION ON SOCIAL NETWORKS, PARTICULARLY DURING PUBLIC HEALTH CRISES LIKE THE COVID-19 PANDEMIC, HAS BECOME A SIGNIFICANT CONCERN. THIS STUDY INVESTIGATES THE SPREAD OF MISINFORMATION ON SOCIAL NETWORK DATA USING SOCIAL NETWORK ANALYSIS (SNA) METRICS, AND MORE GENERALLY BY USING WELL KNOWN NETWORK SCIENCE METRICS. MOREOVER, WE PROPOSE A PROCESS DESIGN THAT UTILIZES SOCIAL NETWORK DATA FROM TWITTER, TO ANALYZE THE INVOLVEMENT OF NON-TRUSTED ACCOUNTS IN SPREADING MISINFORMATION SUPPORTED BY A PROOF-OF-CONCEPT PROTOTYPE. THE PROPOSED PROTOTYPE INCLUDES MODULES FOR DATA COLLECTION, DATA PREPROCESSING, NETWORK CREATION, CENTRALITY CALCULATION, COMMUNITY DETECTION, AND MISINFORMATION SPREADING ANALYSIS. WE CONDUCTED AN EXPERIMENTAL STUDY ON A COVID-19-RELATED TWITTER DATASET USING THE MODULES. THE RESULTS DEMONSTRATE THE EFFECTIVENESS OF OUR APPROACH AND PROCESS STEPS, AND PROVIDES VALUABLE INSIGHT INTO THE APPLICATION OF NETWORK SCIENCE METRICS ON SOCIAL NETWORK DATA FOR ANALYSING VARIOUS INFLUENCE-PARAMETERS IN MISINFORMATION SPREADING.","10.3390/computers12110232","2073-431X","COMPUTERS",NA,"ANALYZING THE SPREAD OF MISINFORMATION ON SOCIAL NETWORKS A PROCESS AND SOFTWARE ARCHITECTURE FOR DETECTION AND ANALYSIS","12",2023,"ISI","COMPUTERS",0,"none",NA,NA,"DUZEN Z, 2023, COMPUTERS","DUZEN Z, 2023, COMPUTERS"
"DURMAZ N, 2022, Hum. VACCINES \& Immunother.","DURMAZ N;HENGIRMEN E","BACKGROUND/AIM THE FIRST CASE OF COVID-19 IN TURKEY WAS OFFICIALLY RECORDED ON MARCH 11, 2020. SOCIAL MEDIA USE INCREASED WORLDWIDE, AS WELL AS IN TURKEY, DURING THE PANDEMIC, AND CONSPIRACY THEORIES/FAKE NEWS ABOUT MEDICAL COMPLICATIONS OF VACCINES SPREAD THROUGHOUT THE WORLD. THE AIM OF THIS STUDY WAS TO IDENTIFY COMMUNITY INTERACTIONS RELATED TO VACCINES AND TO IDENTIFY KEY INFLUENCES/INFLUENCERS BEFORE AND AFTER THE PANDEMIC USING SOCIAL NETWORK DATA FROM TWITTER. MATERIALS AND METHODS TWO DATASETS, INCLUDING TWEETS ABOUT VACCINATIONS BEFORE AND AFTER COVID-19 IN TURKEY, WERE COLLECTED. SOCIAL NETWORKS WERE CREATED BASED ON INTERACTIONS (MENTIONS) BETWEEN TWITTER USERS. USERS AND THEIR INFLUENCE WERE SCORED BASED ON SOCIAL NETWORK ANALYSIS AND PARAMETERS THAT INCLUDED IN-DEGREE AND BETWEENNESS CENTRALITY. RESULTS IN THE PRE-COVID-19 NETWORK, MEDIA FIGURES AND AUTHORS WHO HAD ANTI-VACCINE VIEWS WERE THE MOST INFLUENTIAL USERS. IN THE POST-COVID-19 NETWORK, THE TURKISH MINISTER OF HEALTH, THE WAS THE MOST INFLUENTIAL FIGURE. THE VACCINE NETWORK WAS OBSERVED TO BE GROWING RAPIDLY AFTER COVID-19, AND THE PHYSICIANS AND AUTHORS WHO HAD OPINIONS ABOUT MANDATORY VACCINATIONS RECEIVED A GREAT DEAL OF REACTION. ONE-WAY COMMUNICATION BETWEEN INFLUENCERS AND OTHER USERS IN THE NETWORK WAS DETERMINED. CONCLUSIONS THIS STUDY SHOWS THE EFFECTIVENESS AND USEFULNESS OF LARGE SOCIAL MEDIA DATA FOR UNDERSTANDING PUBLIC OPINION ON PUBLIC HEALTH AND VACCINATION IN TURKEY. THE CURRENT STUDY WAS COMPLETED BEFORE THE IMPLEMENTATION OF THE COVID-19 VACCINE IN TURKEY. WE ANTICIPATED THAT SOCIAL NETWORK ANALYSIS WOULD HELP REDUCE THE ``INFODEMIC'' BEFORE ADMINISTERING THE VACCINE AND WOULD ALSO HELP PUBLIC HEALTH WORKERS ACT MORE PROACTIVELY IN THIS REGARD.","10.1080/21645515.2021.2025008","2164-5515","HUMAN VACCINES \& IMMUNOTHERAPEUTICS",NA,"THE DRAMATIC INCREASE IN ANTIVACCINE DISCOURSES DURING THE COVID19 PANDEMIC A SOCIAL NETWORK ANALYSIS OF TWITTER","18",2022,"ISI","Hum. VACCINES \& Immunother.",0,"none",NA,NA,"DURMAZ N, 2022, Hum. VACCINES \& Immunother.","DURMAZ N, 2022, Hum. VACCINES \& Immunother."
"LI K, 2022, TSINGHUA Sci. Technol.","LI K;TIAN L;ZHENG X;HUI B","THE INEFFICIENT UTILIZATION OF UBIQUITOUS GRAPH DATA WITH COMBINATORIAL STRUCTURES NECESSITATES GRAPH EMBEDDING METHODS, AIMING AT LEARNING A CONTINUOUS VECTOR SPACE FOR THE GRAPH WHICH IS AMENABLE TO BE ADOPTED IN TRADITIONAL MACHINE LEARNING ALGORITHMS IN FAVOR OF VECTOR REPRESENTATIONS. GRAPH EMBEDDING METHODS BUILD AN IMPORTANT BRIDGE BETWEEN SOCIAL NETWORK ANALYSIS AND DATA ANALYTICS AS SOCIAL NETWORKS NATURALLY GENERATE AN UNPRECEDENTED VOLUME OF GRAPH DATA CONTINUOUSLY. PUBLISHING SOCIAL NETWORK DATA NOT ONLY BRING BENEFIT FOR PUBLIC HEALTH, DISASTER RESPONSE, COMMERCIAL PROMOTION, AND MANY OTHER APPLICATIONS, BUT ALSO GIVE BIRTH TO THREATS THAT JEOPARDIZE EACH INDIVIDUAL'S PRIVACY AND SECURITY. UNFORTUNATELY, MOST EXISTING WORKS IN PUBLISHING SOCIAL GRAPH EMBEDDING DATA ONLY FOCUS ON PRESERVING SOCIAL GRAPH STRUCTURE WITH LESS ATTENTION PAID TO THE PRIVACY ISSUES INHERITED FROM SOCIAL NETWORKS. TO BE SPECIFIC, ATTACKERS CAN INFER THE PRESENCE OF A SENSITIVE RELATIONSHIP BETWEEN TWO INDIVIDUALS BY TRAINING A PREDICTIVE MODEL WITH THE EXPOSED SOCIAL NETWORK EMBEDDING. IN THIS PAPER, WE PROPOSE A NOVEL LINK-PRIVACY PRESERVED GRAPH EMBEDDING FRAMEWORK USING ADVERSARIAL LEARNING, WHICH CAN REDUCE ADVERSARY'S PREDICTION ACCURACY ON SENSITIVE LINKS WHILE PERSEVERING SUFFICIENT NON-SENSITIVE INFORMATION SUCH AS GRAPH TOPOLOGY AND NODE ATTRIBUTES IN GRAPH EMBEDDING. EXTENSIVE EXPERIMENTS ARE CONDUCTED TO EVALUATE THE PROPOSED FRAMEWORK USING GROUND TRUTH SOCIAL NETWORK DATASETS.","10.26599/TST.2021.9010083","1007-0214","TSINGHUA SCIENCE AND TECHNOLOGY","912-924","PLAUSIBLE HETEROGENEOUS GRAPH KANONYMIZATION FOR SOCIAL NETWORKS","27",2022,"ISI","TSINGHUA Sci. Technol.",0,"none",NA,NA,"LI K, 2022, TSINGHUA Sci. Technol.","LI K, 2022, TSINGHUA Sci. Technol."
"MOUKARZEL S, 2021, Int. J. Environ. Res. Public Health","MOUKARZEL S;CADUFF A;REHM M;DEL F M;PEREZ-ESCAMILLA R;DALY A","USING SOCIAL MEDIA IS ONE IMPORTANT STRATEGY TO COMMUNICATE RESEARCH AND PUBLIC HEALTH GUIDELINES TO THE SCIENTIFIC COMMUNITY AND GENERAL PUBLIC. EMPIRICAL EVIDENCE ABOUT WHICH COMMUNICATION STRATEGIES ARE EFFECTIVE AROUND BREASTFEEDING MESSAGING IS SCARCE. TO FILL THIS GAP, WE AIMED TO IDENTIFY INFLUENCERS IN THE LARGEST AVAILABLE TWITTER DATABASE USING SOCIAL NETWORK ANALYSIS (N = 10,694 USERS), INDUCTIVELY ANALYZE TWEETS, AND EXPLORE COMMUNICATION STRATEGIES, MOTIVATIONS, AND CHALLENGES VIA SEMI-STRUCTURED INTERVIEWS. INFLUENCERS HAD DIVERSE BACKGROUNDS WITHIN AND BEYOND THE SCIENTIFIC HEALTH COMMUNITY (SHC; 42.7\%): 54.7\% WERE FROM THE GENERAL PUBLIC AND 3\% WERE COMPANIES. SHC CONTRIBUTED TO MOST OF THE TWEETS (N = 798 TWEETS), DISSEMINATING GUIDELINES AND RESEARCH FINDINGS MORE FREQUENTLY THAN OTHERS (P < 0.001). INFLUENCERS FROM THE GENERAL COMMUNITY MOSTLY TWEETED OPINIONS REGARDING THE CURRENT STATE OF BREASTFEEDING RESEARCH AND ADVOCACY. INTERVIEWEES PROVIDED PRACTICAL STRATEGIES (E.G., PREFERRED VISUALS, TONE, AND WRITING STYLE) TO ACHIEVE PERSONAL AND SOCIETAL GOALS INCLUDING CAREER OPPORTUNITIES, COMMUNITY SUPPORT, AND IMPROVED BREASTFEEDING PRACTICES. COMPLEX CHALLENGES THAT NEED TO BE ADDRESSED WERE IDENTIFIED. IDEOLOGICAL DIFFERENCES REGARDING INFANT FEEDING MAY BE HAMPERING CONSTRUCTIVE COMMUNICATION, INCLUDING DIFFERENCES IN INFLUENCERS' INTERPRETATION OF THE WHO INTERNATIONAL CODE OF MARKETING OF BREAST-MILK SUBSTITUTES AND IN PERSPECTIVES REGARDING WHICH SOCIAL MEDIA INTERACTIONS ENCOMPASS CONFLICT OF INTEREST.","10.3390/ijerph18126181",NA,"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",NA,"BREASTFEEDING COMMUNICATION STRATEGIES CHALLENGES AND OPPORTUNITIES IN THE TWITTERVERSE PERSPECTIVES OF INFLUENCERS AND SOCIAL NETWORK ANALYSIS","18",2021,"ISI","Int. J. Environ. Res. Public Health",0,"none",NA,NA,"MOUKARZEL S, 2021, Int. J. Environ. Res. Public Health","MOUKARZEL S, 2021, Int. J. Environ. Res. Public Health"
"SMITH N, 2019, Inf. Commun. \& Soc.","SMITH N;GRAHAM T","OVER THE PAST DECADE, ANTI-VACCINATION RHETORIC HAS BECOME PART OF THE MAINSTREAM DISCOURSE REGARDING THE PUBLIC HEALTH PRACTICE OF CHILDHOOD VACCINATION. THESE UTILISE SOCIAL MEDIA TO FOSTER ONLINE SPACES THAT STRENGTHEN AND POPULARISE ANTI-VACCINATION DISCOURSES. IN THIS PAPER, WE EXAMINE THE CHARACTERISTICS OF AND THE DISCOURSES PRESENT WITHIN SIX POPULAR ANTI-VACCINATION FACEBOOK PAGES. WE EXAMINE THESE LARGE-SCALE DATASETS USING A RANGE OF METHODS, INCLUDING SOCIAL NETWORK ANALYSIS, GENDER PREDICTION USING HISTORICAL CENSUS DATA, AND GENERATIVE STATISTICAL MODELS FOR TOPIC ANALYSIS (LATENT DIRICHLETALLOCATION). WE FIND THAT PRESENT-DAY DISCOURSES CENTRE AROUND MORAL OUTRAGE AND STRUCTURAL OPPRESSION BY INSTITUTIONAL GOVERNMENT AND THE MEDIA, SUGGESTING A STRONG LOGIC OF `CONSPIRACY-STYLE' BELIEFS AND THINKING. FURTHERMORE, ANTI-VACCINATION PAGES ON FACEBOOK REFLECT A HIGHLY `FEMINISED' MOVEMENT THE VAST MAJORITY OF PARTICIPANTS ARE WOMEN. ALTHOUGH ANTI-VACCINATION NETWORKS ON FACEBOOK ARE LARGE AND GLOBAL IN SCOPE, THE COMMENT ACTIVITY SUB-NETWORKS APPEAR TO BE `SMALL WORLD'. THIS SUGGESTS THAT SOCIAL MEDIA MAY HAVE A ROLE IN SPREADING ANTI-VACCINATION IDEAS AND MAKING THE MOVEMENT DURABLE ON A GLOBAL SCALE.","10.1080/1369118X.2017.1418406","1369-118X","INFORMATION COMMUNICATION \& SOCIETY","1310-1327","MAPPING THE ANTIVACCINATION MOVEMENT ON FACEBOOK","22",2019,"ISI","Inf. Commun. \& Soc.",0,"none",NA,NA,"SMITH N, 2019, Inf. Commun. \& Soc.","SMITH N, 2019, Inf. Commun. \& Soc."
"RAMAMOORTHY T, 2021, INFORMATICS Health \& Soc. CARE","RAMAMOORTHY T;KARMEGAM D;MAPPILLAIRAJU B","BURDEN DUE TO INFECTIOUS AND NONCOMMUNICABLE DISEASE IS INCREASING AT AN ALARMING RATE. SOCIAL MEDIA USAGE IS GROWING RAPIDLY AND HAS BECOME THE NEW NORM OF COMMUNICATION. IT IS IMPERATIVE TO EXAMINE WHAT IS BEING DISCUSSED IN THE SOCIAL MEDIA ABOUT DISEASES OR CONDITIONS AND THE CHARACTERISTICS OF THE NETWORK OF PEOPLE INVOLVED IN DISCUSSION. THE OBJECTIVE IS TO ASSESS THE TOOLS AND TECHNIQUES USED TO STUDY SOCIAL MEDIA DISEASE NETWORKS USING NETWORK ANALYSIS AND NETWORK MODELING. PUBMED AND IEEEXPLORE WERE SEARCHED FROM 2009 TO 2020 AND INCLUDED 30 STUDIES AFTER SCREENING AND ANALYSIS. TWITTER, QUITNET, AND DISEASE-SPECIFIC ONLINE FORUMS WERE WIDELY USED TO STUDY COMMUNICATIONS ON VARIOUS HEALTH CONDITIONS. MOST OF THE STUDIES HAVE PERFORMED CONTENT ANALYSIS AND NETWORK ANALYSIS, WHEREAS NETWORK MODELING HAS BEEN DONE IN SIX STUDIES. POSTS ON CANCER, COVID-19, AND SMOKING HAVE BEEN WIDELY STUDIED. TOOLS AND TECHNIQUES USED FOR NETWORK ANALYSIS ARE LISTED. HEALTH-RELATED SOCIAL MEDIA DATA CAN BE LEVERAGED FOR NETWORK ANALYSIS. NETWORK MODELING TECHNIQUE WOULD HELP TO IDENTIFY THE STRUCTURAL FACTORS ASSOCIATED WITH THE AFFILIATION OF THE DISEASE NETWORKS, WHICH IS SCARCELY UTILIZED. THIS WILL HELP PUBLIC HEALTH PROFESSIONALS TO TAILOR TARGETED INTERVENTIONS.","10.1080/17538157.2021.1905642","1753-8157","INFORMATICS FOR HEALTH \& SOCIAL CARE","443-454","USE OF SOCIAL MEDIA DATA FOR DISEASE BASED SOCIAL NETWORK ANALYSIS AND NETWORK MODELING A SYSTEMATIC REVIEW","46",2021,"ISI","INFORMATICS Health \& Soc. CARE",0,"none",NA,NA,"RAMAMOORTHY T, 2021, INFORMATICS Health \& Soc. CARE","RAMAMOORTHY T, 2021, INFORMATICS Health \& Soc. CARE"
"AMITH M, 2020, BMC Med. INFORMATICS Decis. Mak.","AMITH M;FUJIMOTO K;MAULDIN R;TAO C","BACKGROUND DYADIC-BASED SOCIAL NETWORKS ANALYSES HAVE BEEN EFFECTIVE IN A VARIETY OF BEHAVIORAL- AND HEALTH-RELATED RESEARCH AREAS. WE INTRODUCE AN ONTOLOGY-DRIVEN APPROACH TOWARDS SOCIAL NETWORK ANALYSIS THROUGH ENCODING SOCIAL DATA AND INFERRING NEW INFORMATION FROM THE DATA. METHODS THE FRIEND OF A FRIEND (FOAF) ONTOLOGY IS A LIGHTWEIGHT SOCIAL NETWORK ONTOLOGY. WE ENRICHED FOAF BY DERIVING SOCIAL INTERACTION DATA AND RELATIONSHIPS FROM SOCIAL DATA TO EXTEND ITS DOMAIN SCOPE. RESULTS OUR EFFORT PRODUCED FRIEND OF A FRIEND WITH BENEFITS (FOAF+) ONTOLOGY THAT AIMS TO SUPPORT THE SPECTRUM OF HUMAN INTERACTION. A PRELIMINARY SEMIOTIC EVALUATION REVEALED A SEMANTICALLY RICH AND COMPREHENSIVE KNOWLEDGE BASE TO REPRESENT COMPLEX SOCIAL NETWORK RELATIONSHIPS. WITH SEMANTIC WEB RULES LANGUAGE, WE DEMONSTRATED FOAF+ POTENTIAL TO INFER SOCIAL NETWORK TIES BETWEEN INDIVIDUAL DATA. CONCLUSION USING LOGICAL RULES, WE DEFINED INTERPERSONAL DYADIC SOCIAL CONNECTIONS, WHICH CAN CREATE INFERRED LINKED DYADIC SOCIAL REPRESENTATIONS OF INDIVIDUALS, REPRESENT COMPLEX BEHAVIORAL INFORMATION, HELP MACHINES INTERPRET SOME OF THE CONCEPTS AND RELATIONSHIPS INVOLVING HUMAN INTERACTION, QUERY NETWORK DATA, AND CONTRIBUTE METHODS FOR ANALYTICAL AND DISEASE SURVEILLANCE.","10.1186/s12911-020-01287-8",NA,"BMC MEDICAL INFORMATICS AND DECISION MAKING",NA,"FRIEND OF A FRIEND WITH BENEFITS ONTOLOGY FOAF PLUS EXTENDING A SOCIAL NETWORK ONTOLOGY FOR PUBLIC HEALTH","20",2020,"ISI","BMC Med. INFORMATICS Decis. Mak.",0,"none",NA,NA,"AMITH M, 2020, BMC Med. INFORMATICS Decis. Mak.","AMITH M, 2020, BMC Med. INFORMATICS Decis. Mak."
"POPOOLA T, 2021, J. Pers. Med.","POPOOLA T;SKINNER J;WOODS M","THE LOSS OF A BABY TO STILLBIRTH IS A TRAUMATIC EXPERIENCE AND CAN LEAD TO SECONDARY LOSSES, SUCH AS THE LOSS OF SOCIAL RELATIONSHIPS. IN NIGERIA, STILLBIRTHS ARE A COMMON PUBLIC HEALTH PROBLEM. HOWEVER, LIMITED ATTENTION HAS BEEN GIVEN TO THE SOCIAL RAMIFICATIONS OF STILLBIRTHS. THIS STUDY DESCRIBES THE SOCIAL NETWORKS OF WOMEN WHO HAVE EXPERIENCED A STILLBIRTH AND THE FACTORS INFLUENCING THEIR SOCIAL NETWORKS. INTERVIEWS AND SOCIAL NETWORK DIAGRAMS WERE USED TO COLLECT DATA FROM 20 WOMEN ABOUT THEIR SOCIAL NETWORKS BEFORE AND AFTER STILLBIRTH. FINDINGS SUGGEST THAT THE EXPERIENCE OF SHAME, UNMET EXPECTATION OF SUPPORT, AND A LACK OF TRUST LED TO RELATIONSHIP CHANGES AFTER STILLBIRTH. MOST PARTICIPANTS MET BEREAVEMENT NEEDS WITH THEIR EXISTING SOCIAL NETWORKS BEFORE STILLBIRTH, BUT MANY PARTICIPANTS ALSO EXPERIENCED RELATIONSHIP LOSSES (EVEN AMONG FAMILY NETWORKS). INFORMATION FROM SOCIAL NETWORK ANALYSIS CAN REVEAL THE RISKS AND STRENGTHS INHERENT IN SOCIAL NETWORKS, WHICH CAN BE HELPFUL FOR THE PROVISION OF TAILORED/PERSONALIZED BEREAVEMENT CARE.","10.3390/jpm11111056",NA,"JOURNAL OF PERSONALIZED MEDICINE",NA,"EXPLORING THE SOCIAL NETWORKS OF WOMEN BEREAVED BY STILLBIRTH A DESCRIPTIVE QUALITATIVE STUDY","11",2021,"ISI","J. Pers. Med.",0,"none",NA,NA,"POPOOLA T, 2021, J. Pers. Med.","POPOOLA T, 2021, J. Pers. Med."
