"label","type","author","title","journal","year","volume","number","pages","month","abstract","doi","article_number","issn","eissn","unique_id","researcherid_numbers","orcid_numbers","earlyaccessdate","note","organization","address","keywords","language","p","n","sd","matches"
"WOS.000750770500001","Article","Nihal Durmaz and Engin Hengirmen","The dramatic increase in anti-vaccine discourses during the COVID-19 pandemic: a social network analysis of Twitter","HUMAN VACCINES \& IMMUNOTHERAPEUTICS",2022,"18","1",NA,"2022 DEC 31","Background/Aim The first case of COVID-19 in Turkey was officially recorded on March 11, 2020. Social media use increased worldwide, as well as in Turkey, during the pandemic, and conspiracy theories/fake news about medical complications of vaccines spread throughout the world. The aim of this study was to identify community interactions related to vaccines and to identify key influences/influencers before and after the pandemic using social network data from Twitter. Materials and methods Two datasets, including tweets about vaccinations before and after COVID-19 in Turkey, were collected. Social networks were created based on interactions (mentions) between Twitter users. Users and their influence were scored based on social network analysis and parameters that included in-degree and betweenness centrality. Results In the pre-COVID-19 network, media figures and authors who had anti-vaccine views were the most influential users. In the post-COVID-19 network, the Turkish minister of health, the was the most influential figure. The vaccine network was observed to be growing rapidly after COVID-19, and the physicians and authors who had opinions about mandatory vaccinations received a great deal of reaction. One-way communication between influencers and other users in the network was determined. Conclusions This study shows the effectiveness and usefulness of large social media data for understanding public opinion on public health and vaccination in Turkey. The current study was completed before the implementation of the COVID-19 vaccine in Turkey. We anticipated that social network analysis would help reduce the ``infodemic{''} before administering the vaccine and would also help public health workers act more proactively in this regard.","10.1080/21645515.2021.2025008",NA,"2164-5515","2164-554X","WOS:000750770500001","Durmaz, Nihal/AAV-7433-2021 ","Durmaz, Nihal/0000-0002-3079-1769 HENGIRMEN, ENGIN/0000-0001-9330-3251","JAN 2022",NA,NA,NA,NA,NA,NA,NA,NA,4
"WOS.000814631700007","Article","Kaiyang Li and Ling Tian and Xu Zheng and Bei Hui","Plausible Heterogeneous Graph \$k\$-Anonymization for Social Networks","TSINGHUA SCIENCE AND TECHNOLOGY",2022,"27","6","912-924","DEC","The inefficient utilization of ubiquitous graph data with combinatorial structures necessitates graph embedding methods, aiming at learning a continuous vector space for the graph which is amenable to be adopted in traditional machine learning algorithms in favor of vector representations. Graph embedding methods build an important bridge between social network analysis and data analytics as social networks naturally generate an unprecedented volume of graph data continuously. Publishing social network data not only bring benefit for public health, disaster response, commercial promotion, and many other applications, but also give birth to threats that jeopardize each individual's privacy and security. Unfortunately, most existing works in publishing social graph embedding data only focus on preserving social graph structure with less attention paid to the privacy issues inherited from social networks. To be specific, attackers can infer the presence of a sensitive relationship between two individuals by training a predictive model with the exposed social network embedding. In this paper, we propose a novel link-privacy preserved graph embedding framework using adversarial learning, which can reduce adversary's prediction accuracy on sensitive links while persevering sufficient non-sensitive information such as graph topology and node attributes in graph embedding. Extensive experiments are conducted to evaluate the proposed framework using ground truth social network datasets.","10.26599/TST.2021.9010083",NA,"1007-0214","1878-7606","WOS:000814631700007","Li, Kaiyang/HFZ-9987-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"WOS.000600132900005","Article","Muhammad Amith and Kayo Fujimoto and Rebecca Mauldin and Cui Tao","Friend of a Friend with Benefits ontology (FOAF plus ): extending a social network ontology for public health","BMC MEDICAL INFORMATICS AND DECISION MAKING",2020,"20","10",NA,"DEC 15","Background Dyadic-based social networks analyses have been effective in a variety of behavioral- and health-related research areas. We introduce an ontology-driven approach towards social network analysis through encoding social data and inferring new information from the data. Methods The Friend of a Friend (FOAF) ontology is a lightweight social network ontology. We enriched FOAF by deriving social interaction data and relationships from social data to extend its domain scope. Results Our effort produced Friend of a Friend with Benefits (FOAF+) ontology that aims to support the spectrum of human interaction. A preliminary semiotic evaluation revealed a semantically rich and comprehensive knowledge base to represent complex social network relationships. With Semantic Web Rules Language, we demonstrated FOAF+ potential to infer social network ties between individual data. Conclusion Using logical rules, we defined interpersonal dyadic social connections, which can create inferred linked dyadic social representations of individuals, represent complex behavioral information, help machines interpret some of the concepts and relationships involving human interaction, query network data, and contribute methods for analytical and disease surveillance.","10.1186/s12911-020-01287-8","269",NA,"1472-6947","WOS:000600132900005","Tao, Cui/G-8429-2011 Amith, Muhammad/GZB-1844-2022 ","Tao, Cui/0000-0002-4267-1924 Mauldin, Rebecca L./0000-0002-7820-9141 Amith, Muhammad/0000-0003-4333-1857",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"WOS.001005979900003","Article","Wasim Ahmed and Ronnie Das and Josep Vidal-Alaball and Mariann Hardey and Aina Fuster-Casanovas","Twitter's Role in Combating the Magnetic Vaccine Conspiracy Theory: Social Network Analysis of Tweets","JOURNAL OF MEDICAL INTERNET RESEARCH",2023,"25",NA,NA,"MAR 31","Background: The popularity of the magnetic vaccine conspiracy theory and other conspiracy theories of a similar nature creates challenges to promoting vaccines and disseminating accurate health information. Objective: Health conspiracy theories are gaining in popularity. This study's objective was to evaluate the Twitter social media network related to the magnetic vaccine conspiracy theory and apply social capital theory to analyze the unique social structures of influential users. As a strategy for web-based public health surveillance, we conducted a social network analysis to identify the important opinion leaders sharing the conspiracy, the key websites, and the narratives. Methods: A total of 18,706 tweets were retrieved and analyzed by using social network analysis. Data were retrieved from June 1 to June 13, 2021, using the keyword vaccine magnetic. Tweets were retrieved via a dedicated Twitter application programming interface. More specifically, the Academic Track application programming interface was used, and the data were analyzed by using NodeXL Pro (Social Media Research Foundation) and Gephi. Results: There were a total of 22,762 connections between Twitter users within the data set. This study found that the most influential user within the network consisted of a news account that was reporting on the magnetic vaccine conspiracy. There were also several other users that became influential, such as an epidemiologist, a health economist, and a retired sports athlete who exerted their social capital within the network. Conclusions: Our study found that influential users were effective broadcasters against the conspiracy, and their reach extended beyond their own networks of Twitter followers. We emphasize the need for trust in influential users with regard to health information, particularly in the context of the widespread social uncertainty resulting from the COVID-19 pandemic, when public sentiment on social media may be unpredictable. This study highlights the potential of influential users to disrupt information flows of conspiracy theories via their unique social capital.","10.2196/43497","e43497","1438-8871",NA,"WOS:001005979900003","Vidal-Alaball, Josep/P-5975-2017 Hardey, Mariann (Maz)/L-6071-2017 ","Vidal-Alaball, Josep/0000-0002-3527-4242 Hardey, Mariann (Maz)/0000-0002-1027-0165 Fuster-Casanovas, Aina/0000-0001-9128-9580 Ahmed, Wasim/0000-0001-8923-1865",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"WOS.000458711400033","Article","Kar-Hai Chu and Patrick Allem and Jennifer B. Unger and Tess Boley Cruz and Meleeka Akbarpour and Matthew G. Kirkpatrick","Strategies to find audience segments on Twitter for e-cigarette education campaigns","ADDICTIVE BEHAVIORS",2019,"91","SI","222-226","APR","The development of public health education campaigns about tobacco products requires an understanding of specific audience segments including their views, intentions, use of media, perceived barriers, and benefits of change. For example, identifying and targeting individuals who express ambivalence about e-cigarette use on Twitter may be helpful in devising and focusing public health campaigns to reduce e-cigarette use. This study developed a novel analytic strategy using social network analysis to identify audience segments on Twitter based on positive, negative, and neutral e-cigarette sentiment Using Twitter data collected from April 2015 to March 2016, we identified different sub-groups of users who retweeted about e-cigarettes, and measured each subgroup's clustering coefficient (CC), which describes how tightly people cluster together. Ten high CC and ten low CC groups were randomly selected; then 100 randomly selected tweets from each group were coded for e-cigarette sentiment (positive, negative, neutral). Results indicate that differences in e-cigarette sentiment are associated with clustering of Twitter network ties. Statistical analyses revealed that high CC groups were more likely to have strong e-cigarette sentiments, suggesting that tightly clustered groups may be ``echo chambers{''} (i.e., like-minded people repeating the same messages). By contrast, low CC groups were more likely to have neutral sentiments, and had greater fluctuation in sentiment over time, suggesting that they may be more flexible in their opinions about e-cigarettes and may be particularly receptive to targeted public health campaigns. Informatics techniques such as determination of clusters using social network analysis can be useful in identifying audience segments for future public health campaigns.","10.1016/j.addbeh.2018.11.015",NA,"0306-4603","1873-6327","WOS:000458711400033",NA,"Chu, Kar-Hai/0000-0002-2486-8846 Unger, Jennifer/0000-0001-9064-6603",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"WOS.000967089900001","Article","Jiayi Shi and Zhaowei Khoo","Online health community for change: Analysis of self-disclosure and social networks of users with depression","FRONTIERS IN PSYCHOLOGY",2023,"14",NA,NA,"MAR 28","Background A key research question with theoretical and practical implications is to investigate the various conditions by which social network sites (SNS) may either enhance or interfere with mental well-being, given the omnipresence of SNS and their dual effects on well-being. Method/process We study SNS' effects on well-being by accounting for users' personal (i.e., self-disclosure) and situational (i.e., social networks) attributes, using a mixed design of content analysis and social network analysis. Result/conclusion We compare users' within-person changes in self-disclosure and social networks in two phases (over half a year), drawing on Weibo Depression SuperTalk, an online community for depression, and find: Several network attributes strengthen social support, including network connectivity, global efficiency, degree centralization, hubs of communities, and reciprocal interactions. Users' self-disclosure attributes reflect positive changes in mental well-being and increased attachment to the community. Correlations exist between users' topological and self-disclosure attributes. A Poisson regression model extracts self-disclosure attributes that may affect users' received social support, including the writing length, number of active days, informal words, adverbs, negative emotion words, biological process words, and first-person singular forms. Innovation We combine social network analysis with content analysis, highlighting the need to understand SNS' effects on well-being by accounting for users' self-disclosure (content) and communication partners (social networks). Implication/contribution Authentic user data helps to avoid recall bias commonly found in self-reported data. A longitudinal within-person analysis of SNS' effects on well-being is helpful for policymakers in public health intervention, community managers for group organizations, and users in online community engagement.","10.3389/fpsyg.2023.1092884","1092884","1664-1078",NA,"WOS:000967089900001",NA,"Khoo, Zhao Wei/0009-0009-8469-7864 shi, jiayi/0000-0003-4215-3374",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"WOS.000497163000067","Article","Qianyi Zhan and Wei Zhuo and Yuan Liu","Social Influence Maximization for Public Health Campaigns","IEEE ACCESS",2019,"7",NA,"151252-151260",NA,"With the rapid growth of online medical treatments, social media has become a prevalent platform to spread health-related information. For public health campaigns, how to diffuse the message broadly and efficiently in the social network is a classical problem, which is named Influence Maximization (IM). IM can be considered as an algorithmic problem of finding a small set of network users as seed nodes that maximizes the spread of influence for a piece of information under a certain influence cascade model. With a lot of researches focusing on this field, most existing solutions are proposed to extract seed nodes only considering pure topological structures. In practice, nodes in health-related networks are often abundantly accompanied with other types of meaningful information such as node attributes (identity), second-order proximity, and edge attributes (user relationship), while conventional IM models overlook these information. Therefore, a general framework for incorporating the heterogeneous information into an IM model could be potentially helpful to find underlying seed nodes in health-related networks. Moreover, the stability and the computational cost are also the main challenges that current IM models face. To bridge these gaps, in this paper, we propose NE-IM (Network Embedding for Influence Maximization), a method that aspires to address both problems using representation learning. NE-IM composes of two components: Structure-based embedding and feature-based embedding. They are the projections of network structures and heterogeneous information respectively in a low dimensional space, so that each node in health-related network can be represented as a fix dimensional vector. Experimental results show that our methods significantly outperform baseline approaches.","10.1109/ACCESS.2019.2946391",NA,"2169-3536",NA,"WOS:000497163000067","ZHANG, hui jie/HTN-1690-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"WOS.000530763300121","Article","Maria {Jose Aramburu} and Rafael Berlanga and Indira Lanza","Social Media Multidimensional Analysis for Intelligent Health Surveillance","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",2020,"17","7",NA,"APR","Background: Recent work in social network analysis has shown the usefulness of analysing and predicting outcomes from user-generated data in the context of Public Health Surveillance (PHS). Most of the proposals have focused on dealing with static datasets gathered from social networks, which are processed and mined off-line. However, little work has been done on providing a general framework to analyse the highly dynamic data of social networks from a multidimensional perspective. In this paper, we claim that such a framework is crucial for including social data in PHS systems. Methods: We propose a dynamic multidimensional approach to deal with social data streams. In this approach, dynamic dimensions are continuously updated by applying unsupervised text mining methods. More specifically, we analyse the semantics and temporal patterns in posts for identifying relevant events, topics and users. We also define quality metrics to detect relevant user profiles. In this way, the incoming data can be further filtered to cope with the goals of PHS systems. Results: We have evaluated our approach over a long-term stream of Twitter. We show how the proposed quality metrics allow us to filter out the users that are out-of-domain as well as those with low quality in their messages. We also explain how specific user profiles can be identified through their descriptions. Finally, we illustrate how the proposed multidimensional model can be used to identify main events and topics, as well as to analyse their audience and impact. Conclusions: The results show that the proposed dynamic multidimensional model is able to identify relevant events and topics and analyse them from different perspectives, which is especially useful for PHS systems.","10.3390/ijerph17072289","2289",NA,"1660-4601","WOS:000530763300121","Aramburu, MarÃ­a JosÃ©/ABF-5171-2021 Berlanga Llavori, Rafael/K-9590-2014","Aramburu, MarÃ­a JosÃ©/0000-0002-8026-8351 Lanza Cruz, Indira Lazara/0000-0003-2413-2799 Berlanga Llavori, Rafael/0000-0002-9155-269X",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"WOS.000466963200001","Article","Pratha Sah and Jose David Mendez and Shweta Bansal","A multi-species repository of social networks","SCIENTIFIC DATA",2019,"6",NA,NA,"APR 29","Social network analysis is an invaluable tool to understand the patterns, evolution, and consequences of sociality. Comparative studies over a range of social systems across multiple taxonomic groups are particularly valuable. Such studies however require quantitative social association or interaction data across multiple species which is not easily available. We introduce the Animal Social Network Repository (ASNR) as the first multi-taxonomic repository that collates 790 social networks from more than 45 species, including those of mammals, reptiles, fish, birds, and insects. The repository was created by consolidating social network datasets from the literature on wild and captive animals into a consistent and easy-to-use network data format. The repository is archived at https://bansallab.github.io/asnr/. ASNR has tremendous research potential, including testing hypotheses in the fields of animal ecology, social behavior, epidemiology and evolutionary biology.","10.1038/s41597-019-0056-z","44",NA,"2052-4463","WOS:000466963200001","Sah, Pratha/H-5474-2019 Bansal, Shweta/AFV-6623-2022 Bansal, Shweta/GPW-8977-2022","Sah, Pratha/0000-0001-8936-5871 Bansal, Shweta/0000-0002-1740-5421 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"WOS.000649496900001","Article","Jacqueline M. Burgette and Jacquelin Rankine and Alison J. Culyba and Kar-Hai Chu and Kathleen M. Carley","Best Practices for Modeling Egocentric Social Network Data and Health Outcomes","HERD-HEALTH ENVIRONMENTS RESEARCH \& DESIGN JOURNAL",2021,"14","4","18-34","2021 OCT","Objective/Aim: We describe best practices for modeling egocentric networks and health outcomes using a five-step guide. Background: Social network analysis (SNA) is common in social science fields and has more recently been used to study health-related topics including obesity, violence, substance use, health organizational behavior, and healthcare utilization. SNA, alone or in conjunction with spatial analysis, can be used to uniquely evaluate the impact of the physical or built environment on health. The environment can shape the presence, quality, and function of social relationships with spatial and network processes interacting to affect health outcomes. While there are some common measures frequently used in modeling the impact of social networks on health outcomes, there is no standard approach to social network modeling in health research, which impacts rigor and reproducibility. Methods: We provide an overview of social network concepts and terminology focused on egocentric network data. Egocentric, or personal networks, take the perspective of an individual who identifies their own connections (alters) and also the relationships between alters. Results: We describe best practices for modeling egocentric networks and health outcomes according to the following five-step guide: (1) model selection, (2) social network exposure variable and selection considerations, (3) covariate selection related to sociodemographic and health characteristics, (4) covariate selection related to social network characteristics, and (5) analytic considerations. We also present an example of SNA. Conclusions: SNA provides a powerful repertoire of techniques to examine how relationships impact attitudes, experiences, and behaviors-and subsequently health.","10.1177/19375867211013772","19375867211013772","1937-5867","2167-5112","WOS:000649496900001","Culyba, Alison/GNP-5083-2022 ","Rankine, Jacquelin/0000-0002-8072-6762 Culyba, Alison/0000-0002-1080-2176 Burgette, Jacqueline/0000-0001-5677-6295","MAY 2021",NA,NA,NA,NA,NA,NA,NA,NA,25
